case,layout,noise,seed,policy,source_count,cleared,success,virtual_time_s,wall_time_s,planning_s,checks_s,actions,measure_count,scan_position_count,clear_attempts,failed_clears,fallback,fallback_actions,no_signal_count,error,move_s,switch_s,measure_s,clear_s
uniform_smooth_110,uniform,smooth,110,adaptive,15,15,True,5215.120752576157,1.1414547999993374,1.066759199999069,0.07261120004477561,177,162,44,15,0,False,0,71,,4199.1207525761565,131.0,810.0,75.0
uniform_smooth_110,uniform,smooth,110,reference,15,15,True,9187.297462367953,0.9408793000002333,0.034383100042759907,0.9022176999424119,623,82,7,541,526,True,623,67,,7048.297462367954,76.0,410.0,1653.0
uniform_biased_111,uniform,biased,111,adaptive,16,16,True,4665.395632157391,2.0284059000005072,1.9198874000103388,0.10554499995487276,236,220,84,16,0,False,0,61,,3334.3956321573905,151.0,1100.0,80.0
uniform_biased_111,uniform,biased,111,reference,16,16,True,9345.732092227969,0.8867963000011514,0.06235050004761433,0.8208192000347481,634,64,7,570,554,True,634,48,,7225.732092227969,58.0,320.0,1742.0
uniform_hashed_112,uniform,hashed,112,adaptive,10,10,True,4999.169006022556,0.4174118000009912,0.38036229999852367,0.03531409997594892,179,169,27,10,0,False,0,124,,3952.1690060225555,152.0,845.0,50.0
uniform_hashed_112,uniform,hashed,112,reference,10,10,True,6163.564907242818,0.41243179999946733,0.012981899995793356,0.39736320002702996,356,93,7,263,253,True,356,83,,4802.564907242817,87.0,465.0,809.0
edge_smooth_113,edge,smooth,113,adaptive,11,11,True,6438.905086116439,0.22711750000235043,0.1899936000154412,0.036021199986862484,161,150,26,11,0,True,3,116,,5497.90508611644,136.0,750.0,55.0
edge_smooth_113,edge,smooth,113,reference,11,11,True,6577.874487517032,0.2713086999974621,0.009847199988143984,0.2594473000135622,385,115,7,270,259,True,385,104,,5062.874487517032,108.0,575.0,832.0
edge_biased_114,edge,biased,114,adaptive,12,12,True,6152.481944012323,0.46727950000058627,0.4156063999980688,0.05007919999479782,216,204,40,12,0,True,2,144,,4893.481944012323,179.0,1020.0,60.0
edge_biased_114,edge,biased,114,reference,12,12,True,6747.120809167147,0.36431500000253436,0.01303069994901307,0.3487041000225872,426,105,7,321,309,True,426,93,,5137.120809167146,98.0,525.0,987.0
edge_hashed_115,edge,hashed,115,adaptive,13,13,True,7251.904434770848,0.21419330000207992,0.16308029998253915,0.04934589996264549,194,181,38,13,0,True,13,130,,6126.904434770848,155.0,905.0,65.0
edge_hashed_115,edge,hashed,115,reference,13,13,True,7159.815149072222,0.35338430000047083,0.012509399988630321,0.3385714000360167,433,105,7,328,315,True,433,92,,5526.81514907222,98.0,525.0,1010.0
cluster_smooth_116,cluster,smooth,116,adaptive,14,14,True,3901.918675706975,1.1229203000002599,1.0641068999830168,0.05722999996578437,134,120,24,14,0,False,0,60,,3124.918675706975,107.0,600.0,70.0
cluster_smooth_116,cluster,smooth,116,reference,14,14,True,7374.793656079703,0.6744847000009031,0.02444990004369174,0.6472762000157672,459,60,7,399,385,True,459,46,,5795.793656079703,54.0,300.0,1225.0
cluster_biased_117,cluster,biased,117,adaptive,15,15,True,3496.2529275233064,1.2844111999984307,1.2225870999827748,0.060301600002276246,122,107,21,15,0,False,0,52,,2793.252927523307,93.0,535.0,75.0
cluster_biased_117,cluster,biased,117,reference,15,15,True,8638.057640973147,0.9150331999990158,0.0323939000008977,0.8790016999701038,599,54,7,545,530,True,599,39,,6655.057640973147,48.0,270.0,1665.0
cluster_hashed_118,cluster,hashed,118,adaptive,16,16,True,1531.658471242015,0.6937287000000651,0.64471890000641,0.04765060000499943,85,69,19,16,0,False,0,16,,1050.658471242015,56.0,345.0,80.0
cluster_hashed_118,cluster,hashed,118,reference,16,16,True,6300.679888340489,0.5427092999998422,0.024748400017415406,0.5155316000054881,389,43,5,346,330,True,389,27,,4976.679888340489,39.0,215.0,1070.0
line_smooth_119,line,smooth,119,adaptive,10,10,True,4019.760989400971,0.53539919999821,0.4862645999783126,0.0476712999989104,169,159,36,10,0,False,0,100,,3041.7609894009715,133.0,795.0,50.0
line_smooth_119,line,smooth,119,reference,10,10,True,3725.7746736003655,0.11495840000134194,0.004812400020455243,0.10911529998702463,174,88,7,86,76,True,174,78,,2926.7746736003655,81.0,440.0,278.0
line_biased_120,line,biased,120,adaptive,11,11,True,5010.515120614454,0.3895382000009704,0.3466715999893495,0.041569000019080704,158,147,26,11,0,False,0,104,,4091.515120614454,129.0,735.0,55.0
line_biased_120,line,biased,120,reference,11,11,True,5875.115559715731,0.40739510000275914,0.014160799983073957,0.3911081999867747,375,86,7,289,278,True,375,75,,4476.115559715731,80.0,430.0,889.0
line_hashed_121,line,hashed,121,adaptive,12,12,True,4029.3817817240224,0.3644279000000097,0.3236653999883856,0.03943429998616921,148,136,26,12,0,False,0,89,,3171.381781724022,118.0,680.0,60.0
line_hashed_121,line,hashed,121,reference,12,12,True,5096.59537402359,0.2800530000022263,0.007686500004638219,0.27069160000246484,292,78,7,214,202,True,292,66,,3968.5953740235914,72.0,390.0,666.0
