case,seed,layout,noise,policy,source_count,cleared,success,error,virtual_time_s,wall_time_s,planning_s,checking_s,actions,measure_count,scan_position_count,failed_clears,cleared_ratio,average_localization_clear_s,fallback,policy_stats,move_s,switch_s,measure_s,clear_s
uniform_smooth_94100,94100,uniform,smooth,committed_base,16,16,True,,3578.204431889661,0.9239311999990605,0.8325759000363178,0.08109160003368743,174,158,33,0,1.0,223.6377769931038,False,{},2573.2044318896606,135.0,790.0,80.0
uniform_smooth_94100,94100,uniform,smooth,completion,16,16,True,,3722.5630615513123,2.3879270999968867,2.3174258000362897,0.06209209989901865,139,123,23,0,1.0,232.66019134695702,False,{},2912.5630615513123,115.0,615.0,80.0
uniform_smooth_94100,94100,uniform,smooth,configured,16,16,True,,3738.3467409656,2.3649198000057368,2.290811700069753,0.0650424999621464,138,122,22,0,1.0,233.64667131035,False,{},2933.3467409656,115.0,610.0,80.0
uniform_biased_94101,94101,uniform,biased,completion,10,10,True,,4730.282912428021,0.940737299999455,0.895042999945872,0.03645210000104271,187,174,24,3,1.0,473.0282912428021,False,{},3640.2829124280197,161.0,870.0,59.0
uniform_biased_94101,94101,uniform,biased,configured,10,10,True,,4651.550099678463,1.0810493999961182,1.0343603000364965,0.03876679999666521,179,164,25,5,1.0,465.1550099678463,False,{},3615.550099678464,151.0,820.0,65.0
uniform_biased_94101,94101,uniform,biased,committed_base,10,10,True,,4670.4722704603755,0.7140947999942,0.634447399956116,0.06839409998792689,247,237,53,0,1.0,467.04722704603756,False,{},3235.472270460375,200.0,1185.0,50.0
uniform_hashed_94102,94102,uniform,hashed,configured,11,11,True,,4790.502389106852,1.0707696999961627,1.0132269000459928,0.04741870001453208,177,164,28,2,1.0,435.50021719153204,False,{},3763.5023891068513,146.0,820.0,61.0
uniform_hashed_94102,94102,uniform,hashed,committed_base,11,11,True,,4747.555490957179,0.3421318999971845,0.2848942999917199,0.04841630002920283,188,177,28,0,1.0,431.5959537233799,False,{},3645.555490957179,162.0,885.0,55.0
uniform_hashed_94102,94102,uniform,hashed,completion,11,11,True,,4250.722369572054,1.5450073000029079,1.4891902999734157,0.0463168999995105,184,169,27,4,1.0,386.4293063247322,False,{},3181.722369572054,157.0,845.0,67.0
edge_smooth_94103,94103,edge,smooth,committed_base,12,12,True,,5436.858109833254,0.31535299999814015,0.23720600010710768,0.06845019992761081,213,201,73,0,1.0,453.07150915277117,False,{},4230.8581098332525,141.0,1005.0,60.0
edge_smooth_94103,94103,edge,smooth,completion,12,12,True,,4613.136208025496,0.3988076000023284,0.3510884999850532,0.03997100000560749,148,136,27,0,1.0,384.428017335458,False,{},3742.136208025497,131.0,680.0,60.0
edge_smooth_94103,94103,edge,smooth,configured,12,12,True,,4640.710539773575,0.3936433999988367,0.3432305000242195,0.041280799960077275,153,141,29,0,1.0,386.7258783144646,False,{},3742.7105397735754,133.0,705.0,60.0
edge_biased_94104,94104,edge,biased,completion,13,13,True,,4685.777835817919,0.4229787000003853,0.3694684999791207,0.04505220003193244,150,137,25,0,1.0,360.44444890907073,False,{},3807.7778358179203,128.0,685.0,65.0
