actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
144,uniform_smooth_170100,10,,0.0,0,,2201.0,uniform,134,670.0,2972.294235055272,smooth,382.3294235055272,baseline,10,170100,10,True,50.0,131.0,3823.294235055272,0.27896229999896605
143,uniform_biased_170101,11,,33.0,11,,2117.0,uniform,121,605.0,3315.4929133277546,biased,375.22662848434135,baseline,11,170101,11,True,55.0,119.0,4127.492913327755,0.2850505999958841
129,uniform_hashed_170102,12,,0.0,0,,2129.0,uniform,117,585.0,3158.5119258966306,hashed,326.6259938247192,baseline,12,170102,12,True,60.0,116.0,3919.5119258966306,0.26572440000018105
170,edge_smooth_170103,13,,0.0,0,,2279.0,edge,157,785.0,3816.0394256723935,smooth,370.6184173594148,baseline,13,170103,13,True,65.0,152.0,4818.039425672393,0.41674020000209566
172,edge_biased_161104,16,,15.0,5,,2249.0,edge,151,755.0,3703.5183044424284,biased,293.8448940276518,baseline,16,161104,16,True,80.0,148.0,4701.518304442428,1.2101313000021037
174,edge_hashed_170105,15,,6.0,2,,2279.0,edge,157,785.0,3706.8646829375484,hashed,315.1243121958366,baseline,15,170105,15,True,75.0,154.0,4726.864682937548,0.7114359999977751
85,cluster_smooth_170106,16,,0.0,0,,1785.0000000000002,cluster,69,345.0,2207.994847434413,smooth,168.6871779646508,baseline,16,170106,16,True,80.0,66.0,2698.994847434413,1.0894683999940753
123,cluster_biased_170107,10,,12.0,4,,2057.0,cluster,109,545.0,2185.2676786150328,biased,290.0267678615033,baseline,10,170107,10,True,50.0,108.0,2900.2676786150328,0.1865657000016654
118,cluster_hashed_170108,11,,0.0,0,,2027.0000000000002,cluster,107,535.0,2175.557896624367,hashed,260.9598087840334,baseline,11,170108,11,True,55.0,105.0,2870.557896624367,0.21076739999989513
176,line_smooth_170109,12,,6.0,2,,2279.0,line,162,810.0,2698.582299893992,smooth,310.4651916578327,baseline,12,170109,12,True,60.0,151.0,3725.5822998939925,0.4086916999949608
183,line_biased_170110,13,,15.0,5,,2279.0,line,165,825.0,2541.0599316023527,biased,276.7738408924886,baseline,13,170110,13,True,65.0,152.0,3598.0599316023518,0.45963949999713805
182,line_hashed_170111,14,,6.0,2,,2279.0,line,166,830.0,2591.3479101429025,hashed,260.73913643877876,baseline,14,170111,14,True,70.0,153.0,3650.3479101429025,0.6457398999918951
