actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
315,uniform_smooth_170100,10,,0.0,0,,688.0,uniform,305,1525.0,3321.2759050392283,smooth,518.2275905039229,patrol,10,170100,10,True,50.0,286.0,5182.275905039229,0.9375711999891791
282,uniform_biased_170101,11,,18.0,6,,688.0,uniform,265,1325.0,3489.751600110648,biased,467.3410545555135,patrol,11,170101,11,True,55.0,253.0,5140.751600110649,0.8210848000016995
283,uniform_hashed_170102,12,,0.0,0,,688.0,uniform,271,1355.0,3082.4981352400514,hashed,396.1248446033376,patrol,12,170102,12,True,60.0,256.0,4753.498135240051,0.8115900999982841
420,edge_smooth_170103,13,,0.0,0,,688.0,edge,407,2035.0,3398.5782095953305,smooth,452.81370843040986,patrol,13,170103,13,True,65.0,388.0,5886.578209595328,1.2720050000061747
419,edge_biased_161104,16,,3.0,1,,688.0,edge,402,2010.0,2913.7622646359164,biased,336.86014153974486,patrol,16,161104,16,True,80.0,383.0,5389.762264635918,1.3437128000077792
440,edge_hashed_170105,15,,0.0,0,,688.0,edge,425,2125.0,3479.2257616245183,hashed,405.61505077496787,patrol,15,170105,15,True,75.0,405.0,6084.225761624518,1.4254202999873087
132,cluster_smooth_170106,16,,0.0,0,,682.0,cluster,116,580.0,1189.5512948216065,smooth,122.22195592635039,patrol,16,170106,16,True,80.0,106.0,1955.5512948216062,0.2933548000000883
263,cluster_biased_170107,10,,0.0,0,,688.0,cluster,253,1265.0,2353.769391084693,biased,390.47693910846925,patrol,10,170107,10,True,50.0,236.0,3904.7693910846924,0.9191973999986658
276,cluster_hashed_170108,11,,0.0,0,,688.0,cluster,265,1325.0,3138.519878563537,hashed,433.13817077850325,patrol,11,170108,11,True,55.0,246.0,4764.519878563536,0.9297112000058405
302,line_smooth_170109,12,,0.0,0,,688.0,line,290,1450.0,3305.6390651533716,smooth,423.7199220961143,patrol,12,170109,12,True,60.0,269.0,5084.639065153372,1.0363764999929117
301,line_biased_170110,13,,0.0,0,,688.0,line,288,1440.0,2808.1200854916046,biased,352.1630834993542,patrol,13,170110,13,True,65.0,265.0,4578.120085491604,1.1764507999905618
316,line_hashed_170111,14,,0.0,0,,688.0,line,302,1510.0,3219.5047479773275,hashed,362.6074819983805,patrol,14,170111,14,True,70.0,277.0,5076.504747977327,1.1442468000022927
