actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
309,uniform_smooth_170100,10,,0.0,0,,717.9999999856841,uniform,299,1495.0,3226.5827411155956,smooth,505.2582741115596,patrol,10,170100,10,True,50.0,281.0,5052.582741115596,0.9599730000045383
304,uniform_biased_170101,11,,12.0,4,,717.9999999856841,uniform,289,1445.0,3859.0908700790733,biased,513.4628063708249,patrol,11,170101,11,True,55.0,277.0,5648.090870079073,0.8468810000049416
275,uniform_hashed_170102,12,,0.0,0,,717.9999999856841,uniform,263,1315.0,3174.663381359106,hashed,399.721948446592,patrol,12,170102,12,True,60.0,247.0,4796.663381359104,0.8767508000019006
418,edge_smooth_170103,13,,0.0,0,,717.9999999856841,edge,405,2025.0,3749.504317539775,smooth,478.8849475030598,patrol,13,170103,13,True,65.0,386.0,6225.504317539777,1.4202928000013344
398,edge_biased_161104,16,,6.0,2,,717.9999999856841,edge,380,1900.0,3105.3615824268845,biased,340.7725989016803,patrol,16,161104,16,True,80.0,361.0,5452.3615824268845,1.4334525000012945
436,edge_hashed_170105,15,,0.0,0,,717.9999999856841,edge,421,2105.0,3545.875858648267,hashed,408.5250572432177,patrol,15,170105,15,True,75.0,402.0,6127.875858648265,1.4981448000035016
139,cluster_smooth_170106,16,,3.0,1,,711.9999999856841,cluster,122,610.0,1430.8289985798674,smooth,139.86431241124168,patrol,16,170106,16,True,80.0,114.0,2237.828998579867,0.32230369999888353
287,cluster_biased_170107,10,,0.0,0,,717.9999999856841,cluster,277,1385.0,3184.381571131795,biased,487.6381571131794,patrol,10,170107,10,True,50.0,257.0,4876.381571131794,1.0397185000038007
249,cluster_hashed_170108,11,,0.0,0,,717.9999999856841,cluster,238,1190.0,2916.67920154051,hashed,398.4253819582282,patrol,11,170108,11,True,55.0,221.0,4382.67920154051,0.947623800006113
322,line_smooth_170109,12,,0.0,0,,717.9999999856841,line,310,1550.0,3516.709016999347,smooth,451.22575141661235,patrol,12,170109,12,True,60.0,288.0,5414.709016999348,1.3830251000035787
276,line_biased_170110,13,,0.0,0,,717.9999999856841,line,263,1315.0,3143.3181530070933,biased,366.5629348466995,patrol,13,170110,13,True,65.0,242.0,4765.318153007093,1.2929104000068037
271,line_hashed_170111,14,,3.0,1,,717.9999999856841,line,256,1280.0,3272.000234076321,hashed,347.0714452911658,patrol,14,170111,14,True,70.0,234.0,4859.000234076321,0.9749147999973502
