actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
290,uniform_smooth_170100,10,,0.0,0,,897.9999999153638,uniform,280,1400.0,3172.692273289753,smooth,488.76922732897526,patrol,10,170100,10,True,50.0,265.0,4887.692273289753,0.8428614000004018
313,uniform_biased_170101,11,,9.0,3,,897.9999999153638,uniform,299,1495.0,3740.2419831361167,biased,507.56745301237424,patrol,11,170101,11,True,55.0,284.0,5583.241983136117,0.8245418000005884
313,uniform_hashed_170102,12,,0.0,0,,897.9999999153638,uniform,301,1505.0,3526.8678598127467,hashed,447.9889883177289,patrol,12,170102,12,True,60.0,284.0,5375.867859812747,0.9562452999962261
333,edge_smooth_170103,13,,3.0,1,,897.9999999153638,edge,319,1595.0,3371.109764537856,smooth,410.39305881060415,patrol,13,170103,13,True,65.0,301.0,5335.109764537854,1.2752000999898883
335,edge_biased_161104,16,,0.0,0,,897.9999999153638,edge,319,1595.0,3009.7249973056314,biased,311.73281233160185,patrol,16,161104,16,True,80.0,303.0,4987.72499730563,1.3404300000111107
346,edge_hashed_170105,15,,0.0,0,,897.9999999153638,edge,331,1655.0,3461.0671323719876,hashed,366.8711421581325,patrol,15,170105,15,True,75.0,312.0,5503.067132371987,1.3489261000067927
152,cluster_smooth_170106,16,,0.0,0,,891.9999999153638,cluster,136,680.0,1658.0306801290371,smooth,159.18941750806482,patrol,16,170106,16,True,80.0,129.0,2547.030680129037,0.3315306000004057
254,cluster_biased_170107,10,,0.0,0,,897.9999999153638,cluster,244,1220.0,3071.0736736445897,biased,456.70736736445895,patrol,10,170107,10,True,50.0,226.0,4567.07367364459,0.7854636999982176
261,cluster_hashed_170108,11,,0.0,0,,897.9999999153638,cluster,250,1250.0,2686.809413449804,hashed,384.1644921318004,patrol,11,170108,11,True,55.0,234.0,4225.809413449804,0.9090699999942444
283,line_smooth_170109,12,,6.0,2,,897.9999999153638,line,269,1345.0,2877.7160509985565,smooth,378.4763375832131,patrol,12,170109,12,True,60.0,253.0,4541.716050998557,1.0040756999951554
287,line_biased_170110,13,,6.0,2,,897.9999999153638,line,272,1360.0,3316.5029634955313,biased,384.88484334581005,patrol,13,170110,13,True,65.0,256.0,5003.502963495531,1.1422560999926645
256,line_hashed_170111,14,,0.0,0,,897.9999999153638,line,242,1210.0,2759.625474117251,hashed,304.47324815123227,patrol,14,170111,14,True,70.0,223.0,4262.6254741172515,0.9247467000095639
