actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
308,uniform_smooth_170100,10,,0.0,0,,418.0000001028847,uniform,298,1490.0,2965.539300405238,smooth,478.65393004052373,patrol,10,170100,10,True,50.0,281.0,4786.539300405238,0.9738934000051813
284,uniform_biased_170101,11,,15.0,5,,418.0000001028847,uniform,268,1340.0,3354.259701856189,biased,456.47815471419904,patrol,11,170101,11,True,55.0,257.0,5021.259701856189,0.8148875999904703
294,uniform_hashed_170102,12,,0.0,0,,418.0000001028847,uniform,282,1410.0,2631.8812808158177,hashed,364.0734400679848,patrol,12,170102,12,True,60.0,267.0,4368.881280815817,0.9195815999992192
365,edge_smooth_170103,13,,0.0,0,,418.0000001028847,edge,352,1760.0,2676.4214035073537,smooth,372.18626180825805,patrol,13,170103,13,True,65.0,337.0,4838.421403507355,1.149294299990288
392,edge_biased_161104,16,,0.0,0,,418.0000001028847,edge,376,1880.0,2712.0740903724827,biased,314.19213064828006,patrol,16,161104,16,True,80.0,355.0,5027.074090372481,1.2499606999917887
385,edge_hashed_170105,15,,0.0,0,,418.0000001028847,edge,370,1850.0,2704.831165622894,hashed,332.1887443748596,patrol,15,170105,15,True,75.0,353.0,4982.831165622894,1.303931200003717
132,cluster_smooth_170106,16,,0.0,0,,412.0000001028847,cluster,116,580.0,1102.627619956518,smooth,116.85172624728239,patrol,16,170106,16,True,80.0,107.0,1869.6276199565182,0.3064306000014767
292,cluster_biased_170107,10,,0.0,0,,418.0000001028847,cluster,282,1410.0,2734.2781486327326,biased,445.6278148632732,patrol,10,170107,10,True,50.0,262.0,4456.278148632732,1.0042230999970343
288,cluster_hashed_170108,11,,0.0,0,,418.0000001028847,cluster,277,1385.0,2835.8266416818506,hashed,411.98424015289544,patrol,11,170108,11,True,55.0,256.0,4531.82664168185,1.0724861000053352
295,line_smooth_170109,12,,0.0,0,,418.0000001028847,line,283,1415.0,2959.5211840038482,smooth,391.2934320003207,patrol,12,170109,12,True,60.0,261.0,4695.521184003848,1.1994653000001563
288,line_biased_170110,13,,3.0,1,,418.0000001028847,line,274,1370.0,2647.2839614755367,biased,333.7141508827336,patrol,13,170110,13,True,65.0,253.0,4338.283961475537,1.2224813000066206
270,line_hashed_170111,14,,0.0,0,,418.0000001028847,line,256,1280.0,2931.169142033139,hashed,322.5120815737956,patrol,14,170111,14,True,70.0,234.0,4515.169142033139,1.0062375999987125
