actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
175,uniform_smooth_170100,10,,0.0,0,,418.0000001028847,uniform,165,825.0,2383.573152171996,smooth,341.45731521719955,patrol,10,170100,10,True,50.0,156.0,3414.5731521719954,0.7559460000047693
199,uniform_biased_170101,11,,0.0,0,,418.0000001028847,uniform,188,940.0,2534.524903953412,biased,337.04771854121935,patrol,11,170101,11,True,55.0,178.0,3707.524903953413,0.8734459999977844
195,uniform_hashed_170102,12,,0.0,0,,418.0000001028847,uniform,183,915.0,2529.2755777847815,hashed,306.27296481539844,patrol,12,170102,12,True,60.0,171.0,3675.2755777847815,0.8576355999975931
246,edge_smooth_170103,13,,0.0,0,,418.0000001028847,edge,233,1165.0,2876.7932102825816,smooth,332.83024694481406,patrol,13,170103,13,True,65.0,220.0,4326.793210282583,1.1097674000047846
245,edge_biased_161104,16,,3.0,1,,418.0000001028847,edge,228,1140.0,3114.1221410515313,biased,284.4451338157208,patrol,16,161104,16,True,80.0,214.0,4551.122141051533,0.9950088999903528
237,edge_hashed_170105,15,,0.0,0,,418.0000001028847,edge,222,1110.0,2895.484790971164,hashed,286.0323193980776,patrol,15,170105,15,True,75.0,210.0,4290.484790971164,1.1351881000009598
150,cluster_smooth_170106,16,,0.0,0,,412.0000001028847,cluster,134,670.0,850.4620109678128,smooth,107.90387568548832,patrol,16,170106,16,True,80.0,126.0,1726.462010967813,0.3570806000061566
227,cluster_biased_170107,10,,0.0,0,,418.0000001028847,cluster,217,1085.0,1648.4467256092078,biased,298.64467256092075,patrol,10,170107,10,True,50.0,203.0,2986.4467256092075,1.0894394999922952
186,cluster_hashed_170108,11,,0.0,0,,418.0000001028847,cluster,175,875.0,1656.373393397237,hashed,249.76121758156702,patrol,11,170108,11,True,55.0,161.0,2747.373393397237,1.1495075999991968
171,line_smooth_170109,12,,0.0,0,,418.0000001028847,line,159,795.0,2126.847397621817,smooth,260.82061646848473,patrol,12,170109,12,True,60.0,148.0,3129.8473976218165,0.9599124000087613
155,line_biased_170110,13,,3.0,1,,418.0000001028847,line,141,705.0,1959.3479194573601,biased,219.94983995825845,patrol,13,170110,13,True,65.0,127.0,2859.3479194573597,1.2877765000012005
147,line_hashed_170111,14,,0.0,0,,418.0000001028847,line,133,665.0,1913.9951611563597,hashed,197.8567972254542,patrol,14,170111,14,True,70.0,121.0,2769.995161156359,0.8213083000009647
