actions,case,cleared,error,fail_clear_s,fail_clears,failreason,initial_finish_s,layout,measure_count,measure_s,move_s,noise,per_source_s,policy,real_n,seed,source_count,success,success_clear_s,switch_s,total_s,wall_s
198,uniform_smooth_170100,10,,0.0,0,,818.0,uniform,188,940.0,2843.5347674514296,smooth,401.353476745143,patrol,10,170100,10,True,50.0,180.0,4013.53476745143,0.8518035000015516
174,uniform_biased_170101,11,,0.0,0,,818.0,uniform,163,815.0,3051.3214583830745,biased,370.2110416711886,patrol,11,170101,11,True,55.0,151.0,4072.3214583830745,0.6998303000000305
186,uniform_hashed_170102,12,,0.0,0,,818.0,uniform,174,870.0,2565.5021451453063,hashed,304.45851209544225,patrol,12,170102,12,True,60.0,158.0,3653.502145145307,0.8567251000058604
198,edge_smooth_170103,13,,0.0,0,,818.0,edge,185,925.0,3666.933695376717,smooth,371.61028425974746,patrol,13,170103,13,True,65.0,174.0,4830.933695376717,0.8798045000003185
208,edge_biased_161104,16,,9.0,3,,818.0,edge,189,945.0,3650.327936958228,biased,303.3954960598893,patrol,16,161104,16,True,80.0,170.0,4854.327936958229,1.1507322999968892
172,edge_hashed_170105,15,,0.0,0,,818.0,edge,157,785.0,3782.2200943477746,hashed,319.2813396231849,patrol,15,170105,15,True,75.0,147.0,4789.220094347774,0.9978050000063377
138,cluster_smooth_170106,16,,0.0,0,,818.0,cluster,122,610.0,1747.1000935650918,smooth,159.63125584781824,patrol,16,170106,16,True,80.0,117.0,2554.100093565092,0.8457594000065001
170,cluster_biased_170107,10,,3.0,1,,818.0,cluster,159,795.0,1956.8094542824547,biased,295.38094542824547,patrol,10,170107,10,True,50.0,149.0,2953.8094542824547,0.8365071000007447
151,cluster_hashed_170108,11,,0.0,0,,818.0,cluster,140,700.0,2241.521878261315,hashed,284.3201707510286,patrol,11,170108,11,True,55.0,131.0,3127.521878261315,0.7717910000064876
176,line_smooth_170109,12,,0.0,0,,818.0,line,164,820.0,2506.2247034780053,smooth,295.1020586231671,patrol,12,170109,12,True,60.0,155.0,3541.2247034780057,0.842675899999449
158,line_biased_170110,13,,0.0,0,,818.0,line,145,725.0,2178.1317076219275,biased,238.77936212476374,patrol,13,170110,13,True,65.0,136.0,3104.1317076219284,0.7810304000013275
194,line_hashed_170111,14,,3.0,1,,818.0,line,179,895.0,2508.38077692293,hashed,260.0271983516379,patrol,14,170111,14,True,70.0,164.0,3640.38077692293,0.9222434999974212
