case,layout,noise,current_min,f1_min,f2_min,f3_min,baseline_min
uniform_smooth_310100,uniform,smooth,54.12727476391082,53.827274763910815,53.78302861386649,53.925428117821106,63.73585575562718
uniform_smooth_310101,uniform,smooth,49.2892628737189,49.089262873718894,46.82620410784593,46.70676804090024,62.83579994925832
uniform_biased_310102,uniform,biased,56.80620878982322,55.70620878982322,55.70620878982322,54.92751652479864,62.37689925338343
uniform_biased_310103,uniform,biased,51.493818113098975,50.81048477976564,51.247395071777774,51.351900742136735,61.65880815067519
uniform_hashed_310104,uniform,hashed,58.58388191518213,57.467215248515465,57.36679842746957,57.169711430175546,63.962889636490516
uniform_hashed_310105,uniform,hashed,54.553125367622464,52.85312536762247,51.832096100997354,51.05882980864475,65.8629171298709
edge_smooth_310106,edge,smooth,77.08287547762093,77.08287547762093,72.8872786372306,72.52830592923243,77.93536643582374
edge_smooth_310107,edge,smooth,78.37500885068913,78.37500885068913,78.10117162170293,78.08451176187405,76.42177584476956
edge_biased_310108,edge,biased,77.7289437830645,77.7289437830645,84.13271255980453,79.3958733455759,79.29036391158907
edge_biased_310109,edge,biased,73.11001532699926,73.02668199366593,77.11526231416019,82.15115744477735,77.63585039687717
edge_hashed_310110,edge,hashed,76.16824971323929,75.95158304657262,72.77867513728013,79.71815273420584,78.02488617520002
edge_hashed_310111,edge,hashed,82.35934849562283,82.35934849562283,80.16049150839586,76.93481516760325,77.51969792665437
cluster_smooth_310112,cluster,smooth,42.48334047770912,41.88334047770912,41.88334047770912,41.75625686316252,49.095941311162875
cluster_smooth_310113,cluster,smooth,24.440396611645788,24.440396611645788,24.552826506438517,24.552826506438517,47.50805196178435
cluster_biased_310114,cluster,biased,51.49587330151774,51.295873301517744,44.849760851177614,44.97063335034526,50.646345360483004
cluster_biased_310115,cluster,biased,48.97266172761787,48.78932839428454,48.7436189279346,48.7436189279346,49.149901243562205
cluster_hashed_310116,cluster,hashed,47.52913251439881,47.52913251439881,47.52913251439881,47.293396189237306,49.38567051074198
cluster_hashed_310117,cluster,hashed,44.460192494629766,44.07685916129643,43.87401722859876,43.673416851230606,47.912587798285344
line_smooth_310118,line,smooth,53.68898714764123,52.72232048097456,54.93492824673863,53.13425709662956,67.8288806584544
line_smooth_310119,line,smooth,51.48017313916878,50.79683980583545,50.86466405011018,50.44271432498441,66.42738515143189
line_biased_310120,line,biased,54.08859964544793,53.48859964544793,41.84830576178265,43.31884952375551,66.97709206798258
line_biased_310121,line,biased,54.26722754590295,53.98389421256961,54.75432298889561,54.723308106636324,62.57504683092702
line_hashed_310122,line,hashed,46.04922698523744,44.96589365190411,48.92332488574637,49.3200256491434,62.09974020549014
line_hashed_310123,line,hashed,52.52338572744963,52.15671906078296,48.73198786742243,51.75309991522578,63.68811499543957
