case,layout,noise,current_min,f1_min,f2_min,f3_min,f4_min,baseline_min
uniform_smooth_320100,uniform,smooth,58.28688594209165,57.38688594209165,57.07766849744631,58.26589728622153,57.04583925046036,69.17032598505635
uniform_smooth_320101,uniform,smooth,62.1041013653534,60.7041013653534,61.93361520235302,57.08053487497922,57.9869280774066,65.9744082659361
uniform_biased_320102,uniform,biased,58.91116483440733,58.611164834407326,61.30768323578397,56.38154934530803,59.59270007903235,72.09656197788381
uniform_biased_320103,uniform,biased,50.04491920492334,49.061585871590005,49.053635775424674,48.855957980857326,48.855957980857326,63.20100906896318
uniform_hashed_320104,uniform,hashed,54.913038615657406,54.913038615657406,53.794681416185135,50.41103026255154,51.476807246552475,60.70326196583202
uniform_hashed_320105,uniform,hashed,57.17357051064046,56.773570510640454,57.019286173683334,57.54632563496084,57.482272116891195,68.00586112337182
edge_smooth_320106,edge,smooth,83.42586799174953,83.42586799174953,75.87332057513422,75.69469889520495,80.72171879121139,79.15374197220395
edge_smooth_320107,edge,smooth,78.32395596056577,78.32395596056577,83.09284463889863,77.7746005052302,78.09691207698124,77.8887354896347
edge_biased_320108,edge,biased,82.04227699662671,82.04227699662671,67.7353712856006,67.7353712856006,81.85469295502116,78.34529102322806
edge_biased_320109,edge,biased,69.40113307398471,69.3011330739847,67.57500987136913,70.19873918274783,73.43080773914613,79.42411886280432
edge_hashed_320110,edge,hashed,76.27842369649497,76.27842369649497,77.14519947691998,74.78317842305249,74.65476211457128,79.38975562509049
edge_hashed_320111,edge,hashed,85.67378084110578,85.57378084110579,84.64559060012131,76.78020187513395,76.78020187513395,80.68395423740304
cluster_smooth_320112,cluster,smooth,54.179076066114995,53.76240939944832,53.76240939944832,53.76240939944832,53.76240939944832,48.86759864569952
cluster_smooth_320113,cluster,smooth,44.902775230493916,44.902775230493916,44.83476694739561,47.045299766512876,44.81008243462959,51.573256350943296
cluster_biased_320114,cluster,biased,45.04283184082113,44.54283184082113,50.73108781231666,44.369674121076045,50.47140153584378,50.293989388600956
cluster_biased_320115,cluster,biased,44.08108354745196,43.98108354745196,46.57837550658314,46.484824972365494,43.88753301323432,52.54929524534198
cluster_hashed_320116,cluster,hashed,32.01236654712125,31.912366547121255,31.912366547121255,31.93631861147416,31.93631861147416,48.50926450816162
cluster_hashed_320117,cluster,hashed,44.90964484943003,44.326311516096695,45.47753688818994,45.47753688818994,45.47753688818994,48.236757576485616
line_smooth_320118,line,smooth,52.54280803760221,51.70947470426888,51.74280803760221,51.41595041568447,51.41595041568447,64.2336991374399
line_smooth_320119,line,smooth,51.51490790732967,51.41490790732967,51.41490790732967,51.323996991983655,51.323996991983655,61.45827173860026
line_biased_320120,line,biased,53.422852271165404,51.53951893783207,49.99711370957125,48.1612899488613,48.1612899488613,56.45685267868286
line_biased_320121,line,biased,49.46124210772398,49.07790877439065,45.661710239822995,45.08216479749474,45.496975911594404,62.91097626931858
line_hashed_320122,line,hashed,56.44045283300332,55.957119499669986,56.83897359638272,57.73909558896095,53.92615689545469,62.994780692259305
line_hashed_320123,line,hashed,44.22490930219765,42.84157596886432,53.18859588353035,43.82602051236278,42.25273085615309,62.57794761838293
